datadate,GroupCount,mean_sigma_V,median_sigma_V,mode_sigma_V,std_sigma_V,min_sigma_V,max_sigma_V,skewness_sigma_V,kurtosis_sigma_V
2015-03-18,239,0.0791994174502832,0.0774902624484851,0.00723010520293433,0.0404447940431731,0.00723010520293433,0.250705085765307,0.967626077218179,5.06296162906326
2015-03-19,239,0.0791649755902192,0.077460589626686,0.00722988753797705,0.0404610600153909,0.00722988753797705,0.250028979920409,0.98663361553601,5.11132364363209
2015-03-20,239,0.0790395684879483,0.0768595768776227,0.00722700810762498,0.0404332623987448,0.00722700810762498,0.250293152798493,0.989897728258863,5.1309889235322
2015-03-23,239,0.0789667176742198,0.0768009467909832,0.00723904883403338,0.0401246241388909,0.00723904883403338,0.249634263355734,0.961565306871178,5.09421975556117
2015-03-24,238,0.0781702267257741,0.0765060820959551,0.00722508520068451,0.0387706869274845,0.00722508520068451,0.248967158804156,0.8237690092051,4.68385842412873
2015-03-25,236,0.0784869745999379,0.0770037956718534,0.00721462437283955,0.0387036992613785,0.00721462437283955,0.248328778481056,0.818153526004783,4.680746540963
2015-03-26,237,0.0790127416637792,0.0772809550003684,0.00722144014061318,0.0394051898822094,0.00722144014061318,0.247815126695038,0.850313530734488,4.64222680673068
2015-03-27,236,0.0792617331156404,0.0775386994533565,0.00721450691184945,0.0393343961226067,0.00721450691184945,0.247166315562074,0.843055121387402,4.62852784758965
2015-03-30,237,0.0790423583354159,0.0773995489055341,0.00725396157536072,0.0393632062901585,0.00725396157536072,0.246529119708866,0.841724617794171,4.60496777919183
2015-03-31,238,0.079170641321797,0.0775641428916642,0.00724091254981415,0.0393757950372866,0.00724091254981415,0.24588849350268,0.826330700031725,4.55426759589859
2015-04-01,238,0.079166401473718,0.0774472179664253,0.00724204579030682,0.0393772561332662,0.00724204579030682,0.245256770911381,0.826012503828665,4.5527613652999
2015-04-02,239,0.079131330386675,0.0774219134249868,0.00724240783876776,0.0393644024749593,0.00724240783876776,0.244625003476691,0.829247444758467,4.5686880556413
2015-04-06,238,0.0786383820973368,0.0770255696255441,0.00724531917428223,0.0385721715204413,0.00724531917428223,0.244002803460033,0.785957653519663,4.58607601055924
2015-04-07,237,0.078548767309589,0.076871196388984,0.00723051696496438,0.0385173715930872,0.00723051696496438,0.243407203008467,0.786158626534376,4.60194806884718
2015-04-08,238,0.0781855647987762,0.0768767553188981,0,0.0386945864814785,0,0.2428210915462,0.751583990641965,4.55877347449021
2015-04-09,237,0.0792675352002157,0.0778542883158114,0.00723645513104514,0.0391302257368659,0.00723645513104514,0.242224956176336,0.821036881997341,4.60738798235577
2015-04-10,236,0.0790053254886413,0.077560385046455,0.00723644125343689,0.0390018832040126,0.00723644125343689,0.241636114420417,0.830672048172271,4.65069966255617
2015-04-13,236,0.079032066929236,0.077357399529611,0.00727409650453195,0.0389745129554241,0.00727409650453195,0.2410514786506,0.824420451305427,4.64039933459707
2015-04-14,236,0.0790238045418098,0.0772061106673179,0.00727092099717294,0.0388356272139372,0.00727092099717294,0.240470949737947,0.819190436174137,4.64459155661617
2015-04-15,237,0.0786442669559017,0.076929679245634,0.00730270780702807,0.0388944624588443,0.00730270780702807,0.239900778125992,0.820532849334217,4.60542853161471
2015-04-16,237,0.0785239180470757,0.0771687662471883,0.00730503961777237,0.0388083196713228,0.00730503961777237,0.239357761138996,0.812875128775422,4.59516252979665
2015-04-17,237,0.0784585312401926,0.0769363012312819,0.00707847718325591,0.0388080065039224,0.00707847718325591,0.238797687602612,0.807781966106503,4.57714996721648
2015-04-20,237,0.0784359578686731,0.0767873859140321,0.00709132348664355,0.0388222765699879,0.00709132348664355,0.238234972884355,0.807787558472753,4.56099985576492
2015-04-21,237,0.0783711434999069,0.0766387421619897,0.00707813059107106,0.0387740231720496,0.00707813059107106,0.237665633784843,0.807742142253771,4.56181914355818
2015-04-22,238,0.078873057358026,0.0766130527251366,0.0070801016326603,0.0392975581667786,0.0070801016326603,0.237115593417024,0.831560486004963,4.53458073105246
2015-04-23,237,0.078506290703164,0.0766904100803175,0.00708001627326389,0.0386221863108005,0.00708001627326389,0.236579774214745,0.791355959070872,4.54723615112434
2015-04-24,237,0.078289600420241,0.0764294978507375,0.00708391948599515,0.0383872693207497,0.00708391948599515,0.236029628557456,0.784591970947926,4.56816811032694
2015-04-27,237,0.0779838991289272,0.0762982076859352,0.00708642955697786,0.0380643511350324,0.00708642955697786,0.235829941571624,0.809984969778673,4.70887903341493
2015-04-28,237,0.0782649239915381,0.0761545586772291,0.00707228798243129,0.0382847186774436,0.00707228798243129,0.235378252199678,0.781500660973217,4.55925942977869
2015-04-29,236,0.0778633331905571,0.0762924863560497,0.00708991365693275,0.0381686599675944,0.00708991365693275,0.235025636860253,0.797152345674642,4.61354180828233
2015-04-30,235,0.0780252533112762,0.0760983326617004,0.00708506084829656,0.0382918488486644,0.00708506084829656,0.23500314529834,0.775819353504191,4.53557235213251
2015-05-01,235,0.0779480739607828,0.0760994982880935,0.00707621458104383,0.0382721569425178,0.00707621458104383,0.235003512297119,0.77151770631382,4.52553865162057
2015-05-04,236,0.0783061785156497,0.0761003387236263,0.00708349634882694,0.0385100029605777,0.00708349634882694,0.235513074836547,0.759776140965584,4.41965565608068
2015-05-05,236,0.0782902655767015,0.0759519216495163,0.00708495412932716,0.0387415873962029,0.00708495412932716,0.248017156714361,0.822281182945186,4.74801044759348
2015-05-06,236,0.078082466682921,0.0760019087357536,0.00709037686466658,0.0384480222510848,0.00709037686466658,0.248133957354207,0.809946230068701,4.78423114153013
2015-05-07,236,0.0781307673348019,0.0759996720535742,0.00708776760639672,0.0384521976077709,0.00708776760639672,0.2476750067267,0.799703066170879,4.7431654014192
2015-05-08,236,0.078087341047423,0.0761068744340204,0.00708947593359439,0.0385592842441442,0.00708947593359439,0.247676057301766,0.798471362376834,4.68990500885733
2015-05-11,236,0.0780347008123348,0.0759111276510556,0.00712015907338963,0.0387096142871073,0.00712015907338963,0.248174405884328,0.819488880035642,4.71796832860752
2015-05-12,236,0.0779592242074181,0.0757567844925705,0.00710890146546572,0.0386903785734274,0.00710890146546572,0.248011083987301,0.81809873056754,4.7073691596522
