gvkey,GroupCount,mean_V,median_V,mode_V,std_V,min_V,max_V,skewness_V,kurtosis_V
5135,653,7466.79177816164,7057.94103980592,6406.44120536617,772.528344719787,6406.44120536617,9485.00542107592,0.300582842616093,1.68346839227084
5179,1711,1015.98590616495,996.97714818019,1085.44864985413,124.996777454129,659.06875828514,1289.00373814188,-0.0963795692451,2.09074222553426
5180,4599,375463.074126276,368055.82356128,216354.484410243,59735.73907642,216354.484410243,535613.927107499,0.252015274474607,3.14399934893915
5229,2701,9342.24994526173,8366.62214124834,6527.89780685138,3889.96148890384,3787.27215394629,20425.1306832145,1.05531427313252,3.75112166172556
5234,4850,13246.1155044551,13005.535560643,7107.91890431959,2587.17671906333,7107.91890431959,18060.5253984858,-0.0781862214331523,2.04393004206676
5301,759,2487.5421447759,2408.73631463248,2076.08498432611,310.093890307098,2076.08498432611,3596.02961465062,1.44241253757257,4.82324232536497
5439,3472,36682.3309685972,38138.975371718,8291.61189116974,12921.6976094473,8291.61189116974,73137.7129181187,-0.00851980466669989,2.77205476947135
5492,1375,6874.08468722369,7069.86993713627,6889.43103927337,1736.82627224999,3585.74722580578,10630.3580900764,-0.0583960957213179,2.15283100309722
5518,3365,6184.71722198367,5637.99407605993,3125.85887250815,2054.44183295474,3125.85887250815,12138.7313951897,0.866979448525826,2.9721256306186
5543,335,4617.08692911569,4670.76983167821,2332.32955206347,606.040690370673,2332.32955206347,5899.56347177178,-1.36244659084437,7.08411328095434
5568,291,131162.497640324,140836.520089381,95643.7472933691,16736.724959237,95643.7472933691,153625.415690649,-0.685034547677272,1.96997954776034
5597,1702,13323.8020520956,11601.3930802138,8058.44411305969,4419.44714623334,8058.44411305969,24586.5671960934,1.31903978629347,3.36694573469882
5600,3405,16921.5832206228,15898.4473355942,12572.0984279132,4351.56604914652,7696.08290498727,28930.2428246463,0.924073290163685,3.16065005269189
5606,1234,126509.016563605,120445.151181985,75722.1488892851,26824.1985508924,75722.1488892851,183968.328935637,0.482120468921091,2.2700720273306
5643,689,35596.7790530148,35046.2037243675,28605.7832519713,2828.28857413945,28605.7832519713,42600.2233628877,0.233962393096418,2.81157465433999
5650,4869,276852.997784301,283267.46401316,90385.4115071765,87467.4498540241,90385.4115071765,458748.071085975,-0.365951499713617,2.53754227303647
5680,4787,134784.589004042,104282.695753428,47956.7488084634,70864.8416272438,47956.7488084634,358243.397495166,1.084441953838,3.21009924443264
5691,733,112081.337848103,111398.318939396,95396.2374279774,6506.40549070851,95396.2374279774,128148.181391165,0.036099944257111,2.52306586098895
5723,263,17183.4996321174,17576.563444381,11840.1493477329,1976.27453733373,11840.1493477329,20279.2102933952,-0.707189557807415,2.79280988493438
5742,4492,18503.0925018115,18195.0171549724,11853.4174020743,4672.279493222,11853.4174020743,30632.768529986,0.653555195903664,2.54458782052453
5750,1722,2363.14071089581,1949.11315277153,1269.31402901947,1025.40800906108,1269.31402901947,5666.33941293441,1.30060368596034,3.71907566708223
5783,1413,4329.71669254942,4255.9008553181,3183.42944229044,640.693331576288,3183.42944229044,5976.32309018189,0.25923524771343,2.0790262548074
5860,266,15250.0146508903,15412.5981934389,13108.9673966887,811.026356699427,13108.9673966887,16974.0409955936,-0.394484141910545,2.48569045640821
5862,1703,3525.63091029864,3674.39837720575,1945.57141734792,637.465407242044,1945.57141734792,4768.23608705858,-0.662505731384529,2.62833525543105
5878,1389,29012.8887979708,29390.5671158415,26574.7458865712,3494.26430706117,19285.2594454556,36994.7844558278,-0.329173372311043,2.94406993156229
5959,434,18306.3809090934,18476.4799409551,13491.0341670234,1792.05702459312,13491.0341670234,21932.7136237203,-0.42497728686128,2.89132288036173
6008,2699,140383.571637684,137318.280397864,96732.5322019058,26544.8221966141,76993.6945294092,232113.105163157,0.658676275607613,4.14505833986825
6034,459,1193.0270526668,1208.34353682133,1282.66421904545,180.854380418803,855.705606057182,1542.6716160824,-0.0595967956075308,1.94780239068931
6066,4872,220641.575170561,213286.336925821,140551.577712895,34508.1898272111,140551.577712895,312497.463586748,0.728659513912455,2.82059861126528
6078,1516,4566.23000357912,4537.94955890877,3191.94371311465,519.326821991271,3191.94371311465,5818.70341004051,0.0153372295758883,2.93220492251912
6081,1874,8897.74553007913,8623.74514938222,4850.71311505952,2026.24785992196,4850.71311505952,14714.0133504149,0.407792077399221,2.61539396675477
6097,1738,11497.1198145935,12119.9858416097,4166.71833610293,3468.12125476427,4166.71833610293,17938.0600800516,-0.325123971673453,1.95628835651257
6104,4872,30864.511998414,32603.748570485,15131.6556358724,5792.24030511419,15131.6556358724,43455.107059589,-0.56821113371917,2.34771707035563
6135,1743,19484.5615012516,18862.0904825991,10320.966165624,5914.58534205927,10320.966165624,33427.8333831009,0.280277979518032,2.31302482910955
6136,4683,14582.4573828651,14001.1225277015,12764.3110571323,2687.55153694086,9279.38888384388,21634.8370902314,0.21325822552128,2.0180085622629
