gvkey,GroupCount,mean_F_star,median_F_star,mode_F_star,std_F_star,min_F_star,max_F_star,skewness_F_star,kurtosis_F_star
8357,388,513.203366204561,523.83881402,264.290968348745,109.458029386622,264.290968348745,727.953945719495,-0.10821035183507,2.42017933898581
8358,1996,5982.89120559108,5972.98032115741,3682.53416368865,1360.36112879811,3682.53416368865,9636.30431893577,0.339228039573061,2.22159259484913
8431,3331,16665.2025001134,14561.5736696387,9698.00916118873,5243.51030499467,9698.00916118873,28437.0082182105,0.769550477859044,2.44370573676365
8455,1791,14891.8842394456,13813.1520342013,10736.8520702467,2898.46638902726,10736.8520702467,21762.0022303713,0.348104640066082,1.86657452893994
8463,2610,5722.38176893324,3406.5902034163,1736.35003175608,3285.89515964127,1736.35003175608,11689.557168341,0.171115032498148,1.20762835025379
8475,1875,1109.8027166731,1132.33356075864,653.179603520019,254.450843211402,653.179603520019,1952.88468626861,0.59163612843986,3.42666488414251
8479,2780,71429.1073475931,68924.1638571568,52320.4608654284,13110.9183192996,42501.5494973185,102879.130295852,0.30227795879671,2.18537691788922
8530,3848,149557.197253622,153801.368874026,84269.9188738091,26099.9599148706,84269.9188738091,208148.587061675,-0.298284849651207,2.29520696053436
8539,1500,37673.9185075699,36144.6411102093,25418.7518925568,6571.48412784477,25418.7518925568,54286.029169713,0.650784501168542,2.68749744197502
8543,487,69403.9536050716,47854.4399769632,35479.3071743348,36959.4334592562,35479.3071743348,158563.020039636,0.890917881525012,1.95502409053907
8544,3163,8861.35329312445,8842.91663140867,4445.21293253906,1962.15260782078,4445.21293253906,13103.9040679808,-0.35061011373327,2.47875568111252
8546,3028,23868.063206636,23690.9588358207,16540.7501956417,3549.15086338801,16540.7501956417,33748.3016532151,0.359577541298204,2.64385717311052
8549,1071,69244.6612755575,71896.5837783663,19155.4576329006,29904.2797023308,19155.4576329006,120975.295341873,-0.070194712437414,1.87892188976688
8606,263,11532.0831881049,11633.6123757658,10335.3541259815,522.920545979699,10335.3541259815,12637.9099082366,-0.44321600413934,2.83983389578773
8692,1127,1060.10383424549,1030.87916118292,686.601758966533,160.802931038899,686.601758966533,1428.3077063428,0.122342866065136,1.92555113763606
8694,1950,8481.88860263357,8438.06060016153,4755.68019823757,854.85318893393,4755.68019823757,10222.5506502633,-1.32649416871606,7.71164447495862
8717,1602,5242.37964936297,4990.30907702724,1304.42345718808,2384.90936823496,1304.42345718808,9711.26276630723,0.0804898392155935,1.60919526173398
8762,4864,159920.02110452,164133.591404715,66011.0243935204,41249.158739925,66011.0243935204,279315.665398148,-0.221720535059671,3.00839109936865
8789,633,19879.6138041191,19857.7184317556,17960.735333188,788.600324090962,17960.735333188,21161.8040373553,-0.571366996560206,2.70923934619559
8810,3267,22912.2883531914,21114.904282509,15351.7453906861,5136.64968003417,15351.7453906861,36263.3222188279,1.07759263640776,3.11671791375764
8818,764,4527.68402767559,4444.98201196341,3465.47738795986,630.833627752972,3465.47738795986,5929.39964716621,0.147638978593171,1.79510203580359
8823,711,4116.64978825885,4227.20335290292,2533.35952609962,690.824419672747,2533.35952609962,5603.27510804468,-0.320514764403614,2.26474670868373
8870,1529,5458.65104166707,5184.64999287015,4382.0173821548,1058.83043915138,4382.0173821548,12415.5635710475,2.41437448704984,10.4447497494108
