datadate,GroupCount,mean_E,median_E,mode_E,std_E,min_E,max_E,skewness_E,kurtosis_E
2017-06-22,166,18893.4704694347,9599.68305779186,457.579066280764,34989.7814125242,457.579066280764,374264.048870182,7.0678577129391,67.4803242396655
2017-06-23,167,18819.116773768,9531.9882075371,456.2744526612,34897.9975255374,456.2744526612,373823.643235653,7.06768777496316,67.5423431630757
2017-06-26,167,18506.6905218419,9466.21423883286,447.321828248644,34279.0266603423,447.321828248644,368405.624722758,7.11605201290785,68.3543625982305
2017-06-27,167,18468.0263457128,9430.13503401036,447.94050450086,34302.2301132259,447.94050450086,368981.978307539,7.13497638375053,68.634646469131
2017-06-28,167,18246.9862292776,9370.85381782218,441.5072734286,33552.6304056538,441.5072734286,359232.167579137,7.04223832907509,67.2610948139627
2017-06-29,167,18142.6989031935,9261.1267740723,441.249590914456,33426.6159619983,441.249590914456,357679.001800012,7.04385038052451,67.2059325186594
2017-06-30,167,18145.9310232802,9208.86790672092,438.572043213021,34209.9425400865,438.572043213021,370813.926107691,7.28007551512556,70.8915762867115
2017-07-05,167,18107.9689049628,9221.16270908907,438.223549332508,34066.1349042185,438.223549332508,368809.495908844,7.2582311112527,70.5452511956551
2017-07-06,166,18126.8200180946,9178.4495661831,436.980430597196,33990.3409889002,436.980430597196,366715.464975129,7.22636143800495,69.9334141429047
2017-07-07,167,17983.221664362,9115.23593610559,436.630961973007,33903.3333263012,436.630961973007,366551.024290566,7.24209349898797,70.2324573919684
2017-07-10,167,17974.9162754894,9161.33430579514,437.694799817125,33898.0049154588,437.694799817125,366381.269732818,7.23802423680621,70.1613109505795
2017-07-11,167,17924.3694065803,9143.68240037792,435.433567386476,33880.1678393586,435.433567386476,366860.719719373,7.26885446741357,70.6678556851804
2017-07-12,167,17896.2667779181,9085.61709682027,435.663448030539,33814.5681263002,435.663448030539,365896.704229889,7.2624404693179,70.5199327942285
2017-07-13,167,17888.342749462,9130.28073673391,434.930177429029,33797.4825326939,434.930177429029,365570.384071732,7.25800464204202,70.4292962876263
2017-07-14,167,17887.0931849158,9120.31230406364,434.464005970634,33771.2528287438,434.464005970634,365317.920982884,7.25762570411368,70.4370708225699
2017-07-17,167,17895.9605167081,9180.37097984516,434.882417427533,33796.4449720586,434.882417427533,365411.095233331,7.25492370405487,70.3439552300951
2017-07-18,167,17850.726036271,8918.73137217131,432.834122430862,33675.3461307757,432.834122430862,364169.698488293,7.2542427881519,70.3608939136703
2017-07-19,167,17916.6696063501,8896.23322909366,438.76904699859,33767.4489349572,438.76904699859,364723.976078086,7.23569255045683,70.0418404197785
2017-07-20,166,18063.4570876935,9085.11047739209,439.675376214369,33624.4512765508,439.675376214369,359965.682964444,7.09820838173293,67.8492518668273
2017-07-21,166,18037.2450816287,9178.82636156811,406.744953309419,33068.775818146,406.744953309419,351081.885676108,6.94516394120921,65.5196463416116
2017-07-24,165,18125.6180828785,9236.85472864294,407.75915680698,33134.4545094931,407.75915680698,350150.928219409,6.894288513702,64.6632983189458
2017-07-25,165,18099.6495334256,9237.29413138432,408.811948350306,33053.706514133,408.811948350306,348937.707234255,6.87862390264227,64.4102453451885
2017-07-26,164,18260.4331020452,8896.66697467771,406.801818080505,33335.4142786652,406.801818080505,351379.687969398,6.8716378969892,64.3222743033068
2017-07-27,164,18428.1294679811,9138.54704494747,405.858326998613,34745.2963002499,405.858326998613,373916.41554362,7.23466611674228,69.9910305341798
2017-07-28,164,18505.5534623129,9183.77412235942,405.789990889423,34777.1029093538,405.789990889423,373889.361921625,7.2267022392172,69.7689631956076
2017-07-31,164,18446.5829387019,9491.36957817944,406.68733194682,34777.6773271125,406.68733194682,373692.513407639,7.22371527740005,69.6859702924566
2017-08-01,164,18593.1924505396,9377.37822461674,406.143613247098,35219.8089099215,406.143613247098,377398.123351844,7.17099113721079,68.8964157825614
2017-08-02,164,18641.0244070468,9352.81500140185,406.309581648596,35287.9994212062,406.309581648596,378168.021126105,7.17126604404013,68.9080649838716
2017-08-03,164,18618.9849429801,9132.80324304361,405.212591007139,35197.5745201952,405.212591007139,377341.742140855,7.17354401546658,68.9629568064094
2017-08-04,165,18492.3953341825,8884.85948737841,403.623820128579,35090.260704423,403.623820128579,376836.498863295,7.17917556135964,69.1191627512091
2017-08-08,165,18429.2183204049,8592.4589330468,402.140581451373,34961.1129061277,402.140581451373,375761.363978996,7.19233296871853,69.340214993156
2017-08-09,165,18365.5368723995,8562.24612731551,400.778566428813,34892.660140211,400.778566428813,375811.635613472,7.22414311792025,69.8877951419142
2017-08-10,166,18219.9323556283,8415.54547338877,401.543255087014,34782.8751831538,401.543255087014,376321.851107049,7.28103017422352,70.8216555755048
2017-08-11,166,18304.7074416307,8407.83244784981,401.229296480726,35386.2329666944,401.229296480726,385455.944727102,7.40630099895205,72.837451812896
2017-08-14,166,18405.9325455237,8673.52055956731,403.20786214555,35560.8040295959,403.20786214555,386708.158962688,7.3815944853077,72.3928089709645
2017-08-15,166,18408.0306895313,8547.37610106124,402.396452321493,35530.4672375605,402.396452321493,386078.511116978,7.36915625469669,72.1795622702757
2017-08-16,166,18467.1145664407,8537.68594809001,403.259047243116,35581.056628696,403.259047243116,386448.934538031,7.3582341466031,72.0241536770407
2017-08-17,166,18446.4950676566,8521.44318421815,403.52470705564,35546.8425242826,403.52470705564,386265.773514393,7.36457136044602,72.1458796834341
2017-08-18,166,18421.0080615378,8361.95183564602,402.381901336143,35500.8301500961,402.381901336143,385336.941094545,7.35120717813666,71.8805921984535
2017-08-21,166,18405.9272229578,8311.80164019344,403.745075698955,35559.7603073335,403.745075698955,386472.614125252,7.37818439852329,72.2829859293938
2017-08-22,166,18435.7480384782,8403.89583200382,402.536605953218,35583.9000543078,402.536605953218,386624.150631489,7.3728030611926,72.1960286740841
2017-08-23,166,18427.9169761005,8460.13933650325,402.507117908146,35592.0549012974,402.507117908146,386867.906137435,7.37958519668684,72.310631355757
2017-08-24,166,18439.1107263472,8380.82174463587,402.533822484223,35619.2635888593,402.533822484223,387466.031901826,7.39213961205704,72.5261996036155
2017-08-25,166,18450.0005335741,8437.28360430543,402.507070495396,35643.2777355105,402.507070495396,387292.24444518,7.37309668898233,72.2212094248489
2017-08-28,166,18556.6933782536,8731.2186123412,401.175458528824,36140.4066604227,401.175458528824,394706.354744321,7.46433468510437,73.7297432327726
2017-08-29,166,18475.467656606,8979.73795112649,399.788449688463,35913.1716829148,399.788449688463,391889.379619152,7.44765976660274,73.4596668451883
2017-08-30,166,18502.8064816387,8991.95189314869,398.646718182957,35836.332632804,398.646718182957,390155.087062586,7.40413972088196,72.7727867187745
2017-08-31,166,18582.9912744186,8842.20734449153,399.171103326514,36034.51515623,399.171103326514,388989.283528093,7.30996833254988,70.8114098464328
2017-09-01,166,18591.043531818,8917.39780007258,399.674902410484,35978.6468824405,399.674902410484,388021.328181515,7.29164074013665,70.5304752237471
2017-09-05,164,16436.9988445031,8942.69499106304,397.64981708789,21543.9766068112,397.64981708789,178082.397849118,3.60789829780501,22.6020464919348
2017-09-06,165,18743.5619624006,9552.47944182524,397.160865941561,36155.7181618415,397.160865941561,389507.73460068,7.30006977340221,70.569292605261
2017-09-07,164,18810.0119749608,9318.42117444311,396.596552448141,36375.5106656783,396.596552448141,392080.142828721,7.33947934975395,71.0950000807406
2017-09-08,164,18802.5673887312,9383.85114920257,395.313044725877,36332.5528460959,395.313044725877,389888.187203604,7.28050797744178,70.0184662813504
2017-09-11,164,18804.2305097447,9387.05876287827,396.527451355345,36459.1889341373,396.527451355345,391011.242175021,7.28444431570894,69.9762462496034
2017-09-12,164,18855.0198137801,9321.18931105018,395.629836922365,36561.0919105204,395.629836922365,391917.971723743,7.28403009762999,69.9091381448619
2017-09-13,164,18867.5995365926,9345.15415044318,391.785394344981,36603.3177116474,391.785394344981,391944.254365507,7.27754737374158,69.714202527798
2017-09-14,164,18760.974698565,9231.88903759472,390.414005259142,36303.2946287224,390.414005259142,387678.736359669,7.2417937611068,69.0639327383831
2017-09-15,163,18869.0921572694,9655.77595838448,390.85017024902,36401.1392607647,390.85017024902,387686.043707054,7.22328769740372,68.689458756841
2017-09-18,163,18823.0313717628,9708.26939699821,390.124657394361,36129.7303253339,390.124657394361,383116.604053701,7.15529986924062,67.5716374281155
2017-09-19,162,18972.849362636,9685.10151693074,702.109703538553,36238.9632697631,702.109703538553,383037.325879584,7.12514865038804,67.0191333326198
2017-09-20,165,18243.6354952127,8478.32960071237,384.920832791432,35210.2507279804,384.920832791432,372917.404682616,7.10080403084257,66.7655430975825
2017-09-21,166,18123.2709700581,8394.03254625912,385.322626423772,34999.1531480228,385.322626423772,371602.402070704,7.10715003574611,67.0103344734455
2017-09-22,167,17965.1644466333,8299.23932398109,385.030994320053,34809.07248138,385.030994320053,370659.432081057,7.13213981413327,67.4647310374904
2017-09-25,167,17912.9708984624,8288.15074121013,386.083356943874,34510.7111871351,386.083356943874,365812.784123688,7.06527668417895,66.3514466541056
2017-09-26,167,17952.5082385016,8228.37270089269,384.955041802417,34664.1503770294,384.955041802417,367893.628213266,7.08929334804233,66.7059180454792
2017-09-27,167,17970.6547991615,8216.47663037563,385.039696887755,34687.7932089283,385.039696887755,367963.436462199,7.0848723592497,66.6098202134886
2017-09-28,167,17953.8766658507,8143.76884770145,384.730499258663,34653.7688445669,384.730499258663,367395.194105232,7.08313756694355,66.5303271718228
2017-09-29,167,17952.8366966093,8122.50467288068,384.029683731142,34676.7404085974,384.029683731142,367275.997178469,7.08246394957524,66.4079779739238
2017-10-02,167,17923.030708994,8075.53682275491,376.082525483726,34629.7404725867,376.082525483726,366939.070375187,7.08646730312664,66.4929784992628
2017-10-03,167,17989.0054252864,8039.21018262506,374.985289812677,34650.8415363068,374.985289812677,366544.513017354,7.06084226809007,66.0833621814282
2017-10-04,167,17947.417159119,7972.25215065818,374.215842127831,34796.1907910116,374.215842127831,368538.38925612,7.09301245378916,66.5016095481122
2017-10-05,167,17993.2272728486,7903.74739121263,374.266648882049,34836.8545027565,374.266648882049,368692.523760114,7.0788693278415,66.2951458792082
2017-10-06,167,17945.2936864641,7851.73493644864,379.597062709351,34806.6757746952,379.597062709351,368732.701344356,7.10158447639976,66.6013041464256
2017-10-10,167,17978.9877269685,7802.01875397737,375.012472480989,35015.4125080157,375.012472480989,370555.579840356,7.09764476744564,66.4527626659207
2017-10-11,167,18031.602277696,7769.85646670806,374.060205204502,35193.7217594891,374.060205204502,373447.520621863,7.13363318103641,67.0776469726985
2017-10-12,166,18014.2531277159,7750.01158307576,362.998303405185,35118.2215507528,362.998303405185,371212.065769323,7.09224583708333,66.3949342818216
2017-10-13,166,18054.9771970718,7706.48957720508,362.798988947903,35333.697706803,362.798988947903,373494.473431845,7.10569983616034,66.5256901683266
2017-10-16,167,18006.1685368376,7680.17908530645,363.882048328088,35321.7844516101,363.882048328088,373988.030389117,7.11847434652531,66.7193789196231
2017-10-17,166,17993.0767920515,7674.07578232019,362.878168477664,35364.3941300572,362.878168477664,373020.762626802,7.08648772908476,66.1377570189891
2017-10-18,165,17926.608975854,7650.68655158635,362.928987444956,35330.9193016112,362.928987444956,373029.013046306,7.0891600350842,66.3888084570719
2017-10-19,165,17877.7271761494,7604.20940945835,363.336723240127,35092.6107583226,363.336723240127,369818.127848711,7.05224248274325,65.8530192599073
2017-10-20,164,18034.4074970826,7700.3732710856,364.005962318831,35232.3567675591,364.005962318831,369871.87671459,7.01187199948039,65.1821678567523
2017-10-23,165,17997.9964345795,7575.35816720359,364.852072303727,35162.8695161564,364.852072303727,370331.716920312,7.04114066234289,65.6802903912072
2017-10-24,164,18074.3100830265,7947.98517634379,363.886541759973,35281.6630021498,363.886541759973,371503.669161421,7.04638618728316,65.8129278673613
2017-10-25,165,17976.5533092985,7781.40152838974,357.501259901676,35152.0223165616,357.501259901676,371336.704616075,7.07732075171047,66.3350429588241
2017-10-26,165,17984.2519682042,7678.94602366632,357.329157187697,35157.415725843,357.329157187697,371088.681411814,7.06981935362235,66.1677226463711
2017-10-27,165,18001.1315938788,7730.13086486347,357.206401388222,35138.2298217748,357.206401388222,370163.132030997,7.03702829535782,65.6682611734386
