datadate,GroupCount,mean_V,median_V,mode_V,std_V,min_V,max_V,skewness_V,kurtosis_V
2013-07-17,290,60426.6482933033,17471.4666991805,829.78508612072,195358.729823717,829.78508612072,2391676.29333748,8.58262728637935,90.2758717965223
2013-07-18,291,60618.7205166767,17963.3601220955,828.278242967988,195358.379399205,828.278242967988,2395784.03920572,8.5912203424284,90.4926826142186
2013-07-19,291,60598.9822633427,18146.4066446679,828.316107699755,195398.575238119,828.316107699755,2396881.65546941,8.59293135639968,90.5335117173347
2013-07-22,291,60474.1376191197,18060.0545458292,827.859097178571,195016.351413127,827.859097178571,2391860.69100214,8.60060086443933,90.6123007775651
2013-07-23,291,60517.7106344363,17943.8085044658,827.440075902162,195110.233333212,827.440075902162,2394046.10563838,8.60527919449363,90.7055530813038
2013-07-24,290,60498.7776336444,17563.1692872654,826.963379397599,195192.462759142,826.963379397599,2388501.67854812,8.57903253641778,90.16429572063
2013-07-25,291,60259.3905176092,17965.4909053691,826.497450912544,194201.215667196,826.497450912544,2381523.34721421,8.61141657228162,90.7967583513071
2013-07-26,291,60201.3506368455,17941.2409612004,825.6615928617,194238.757067531,825.6615928617,2382371.30481039,8.61359557359886,90.8366911749373
2013-07-29,290,60294.737982511,17974.4207190629,825.276493933775,194191.584099591,825.276493933775,2374629.61332866,8.58818718659036,90.2785699203477
2013-07-30,290,60120.2479580738,17927.2010595505,824.993592560294,194063.957966633,824.993592560294,2375798.35923706,8.61194983235523,90.6709351712633
2013-07-31,289,60410.3316304706,18023.4848674984,824.98692232118,195551.760774885,824.98692232118,2404295.69618641,8.65680630860413,91.6245096386477
2013-08-01,289,60352.9581033636,18122.2256308661,825.621410368313,195900.346426485,825.621410368313,2412462.31103183,8.67732492210577,92.0196708335443
2013-08-02,289,60408.632877397,18247.7825184879,824.641990101012,195752.248543051,824.641990101012,2410143.1806264,8.67841546299084,92.0191504371203
2013-08-06,289,60277.8506507511,17906.5647535686,848.244804739497,195422.569329086,848.244804739497,2403740.79678839,8.67106237808287,91.8378529157514
2013-08-07,289,60259.5054825442,17919.7610509942,857.077195193228,195473.04046064,857.077195193228,2404463.4649882,8.67208574986612,91.8566893850737
2013-08-08,289,60182.3200543887,18044.7903542342,855.80227924669,195569.48150533,855.80227924669,2408059.54487623,8.68762132045695,92.1353354598082
2013-08-09,289,60178.0223933111,17991.8455018801,854.788203449724,195537.739421412,854.788203449724,2407404.23184709,8.68631140208384,92.1065883056413
2013-08-12,289,60222.2771496439,18092.7055876254,855.921747604674,195704.813562492,855.921747604674,2410926.94133745,8.69148399921944,92.2256724897778
2013-08-13,289,60186.8300961689,18056.9551349579,859.884093898687,195695.16896296,859.884093898687,2410659.36398006,8.69203736695582,92.2246290633893
2013-08-14,290,66483.4581378377,18130.3826577795,859.813956874673,222791.755459305,859.813956874673,2410315.45054788,7.68698392918949,69.4233915447208
2013-08-15,289,60192.1824865645,17992.001499255,860.051654553216,195625.00614721,860.051654553216,2410166.72652385,8.693939211773,92.2630127736846
2013-08-16,289,60198.6125031847,17991.852647432,861.533512553306,195549.519737859,861.533512553306,2408364.80208058,8.69120607715453,92.1992981097555
2013-08-19,289,60152.716774347,17981.3085900835,861.769337949385,195565.878264303,861.769337949385,2409079.61844602,8.69565664060206,92.2744941365017
2013-08-20,289,60136.6372646201,18062.737848019,861.428897920001,195733.953806825,861.428897920001,2413213.22191747,8.70531835920633,92.4721154706285
2013-08-21,289,60120.5532999353,18097.7008806734,862.642595933945,195686.664922414,862.642595933945,2412030.72103809,8.70271689981757,92.4165409562994
2013-08-22,289,60172.108691644,18113.4399567795,861.713003660571,196052.184661062,861.713003660571,2420275.85132438,8.71766229510352,92.7436886354107
2013-08-23,289,60207.7910716704,18091.456179675,861.742062633833,196117.549363387,861.742062633833,2421019.81608186,8.71725490394015,92.7391239015008
2013-08-26,289,60220.9554264713,18073.2337091471,862.105981694339,196175.733959232,862.105981694339,2422168.65761916,8.71902465442391,92.7771949718206
2013-08-27,289,60087.4085786121,18164.9278270403,861.002581197634,195839.051864699,861.002581197634,2421016.57905083,8.74251733201257,93.2279967124745
2013-08-28,289,60113.2985052885,18185.1926781,860.992955357474,196006.941933757,860.992955357474,2424820.77730922,8.749847334304,93.3822373534133
2013-08-29,289,60137.1050414694,18287.9374407413,861.149500382059,196072.534586677,861.149500382059,2425834.36547128,8.75040107435862,93.3980498293071
2013-08-30,289,60150.4132005736,18260.2703662023,861.140415941464,196022.104830838,861.140415941464,2424619.89710988,8.7477656052652,93.3446970586909
2013-09-03,289,60206.8156514558,18235.5002280847,861.714413865432,196202.461152271,861.714413865432,2428223.56780426,8.75193979271587,93.4492072955365
2013-09-04,286,58430.5429052185,18248.7867761614,862.159921942249,193859.134902288,862.159921942249,2432076.35988215,9.11061173026919,99.5424509683372
2013-09-05,286,58441.4129698346,18234.6674228048,861.980592253359,193945.485898277,861.980592253359,2433799.45158594,9.11376215464296,99.6094876881948
2013-09-06,288,60432.7580097139,18236.0129616825,861.905117043911,196918.263938839,861.905117043911,2437611.22054483,8.75590394750688,93.5397504886743
2013-09-09,288,60333.262020872,18132.185147635,862.380376828909,196696.041016451,862.380376828909,2433668.77597672,8.75253289117187,93.448947178342
2013-09-10,288,60366.6406331256,18105.8279962076,862.206055008807,196732.829489087,862.206055008807,2434386.52591678,8.75175813311065,93.448187000164
2013-09-11,288,60395.1088834746,18118.7866976915,862.087120592709,196739.613195374,862.087120592709,2434430.44790009,8.75103633499404,93.437001892358
2013-09-12,288,60377.3935652891,18108.1476771108,862.120342522684,196667.804994365,862.120342522684,2433680.95927268,8.75115673111943,93.4414986404497
2013-09-13,288,60371.3788813792,18224.087119524,861.722716834787,196633.365154819,861.722716834787,2433280.95565719,8.75219270507353,93.4575191113994
2013-09-16,288,60338.2205832095,17938.9297883317,861.683682119493,196425.955137585,861.683682119493,2428475.67961238,8.74155258454234,93.2358356264892
2013-09-17,288,60332.1520362538,17933.292802468,861.36595707829,196269.059605529,861.36595707829,2424912.50010561,8.73408535080304,93.0832557031458
2013-09-18,286,58413.0508236869,17959.3709299233,861.290272028249,193631.370650416,861.290272028249,2428831.1597184,9.10565930371662,99.4584694442044
2013-09-19,288,60516.770031406,18079.9465999281,861.091675699524,196464.396143877,861.091675699524,2428059.30224477,8.73033509964863,93.0642352930214
2013-09-20,288,60451.9225930675,18127.6698316262,860.817900547412,196645.720438036,860.817900547412,2433623.15386448,8.7483511318052,93.4150737049324
2013-09-23,288,60432.4131484189,18050.2386019489,861.102503255413,196700.729154674,861.102503255413,2434842.50218285,8.75100641974217,93.465761720046
2013-09-24,288,60407.2191527438,18171.6742863614,860.630908910221,196479.72107664,860.630908910221,2429184.17227074,8.739124312459,93.2068240765247
2013-09-25,285,58620.6936138933,18158.2178809251,860.604520703631,193927.707167478,860.604520703631,2428175.3829127,9.08712595817384,99.0644020075993
2013-09-26,285,58584.5073189059,17979.2079492629,860.642216838748,193804.666144573,860.642216838748,2426012.85326939,9.08481518536492,99.0085949090585
2013-09-27,285,58532.6172945789,18124.3856260586,859.250085292318,193763.216295345,859.250085292318,2425314.95521173,9.08723829562307,99.0354857438075
2013-09-30,287,60485.3355290544,18057.8222586904,859.243460300386,196630.720057281,859.243460300386,2427078.69322918,8.72758659107322,92.9331378585894
2013-10-01,287,60496.567392141,18098.0204355603,859.316520133346,196492.367296893,859.316520133346,2423698.68693448,8.71965422861458,92.771995534387
2013-10-02,287,60509.4015503068,18060.5210982791,858.829548965887,196436.682775211,858.829548965887,2422026.74714087,8.71476296886629,92.6742116115877
2013-10-03,286,60553.0667594611,18113.9515701243,858.839677863373,196901.31403983,858.839677863373,2424567.35909691,8.70417690888816,92.4492149247526
2013-10-04,287,60543.9485852954,18203.8670426926,859.556645949894,196600.812396676,859.556645949894,2425446.28901151,8.72062369051611,92.8000275919062
2013-10-07,287,60548.0791486623,18220.0409408011,859.800543088679,196577.534249409,859.800543088679,2425377.56807944,8.72019899202694,92.8006524709691
2013-10-08,285,58546.1058923792,18145.7112340419,860.155173308287,193730.444960798,860.155173308287,2425345.13724822,9.08686193590931,99.046515062837
2013-10-09,285,58552.2588378703,18229.8411999772,860.295668306337,193834.917282872,860.295668306337,2427068.45992509,9.09131458350865,99.1231617421452
2013-10-10,287,60572.6349731983,18110.0549812701,859.953087360862,196571.752490453,859.953087360862,2424735.8984668,8.71813498209051,92.7573352025621
2013-10-11,285,60737.8929697408,17813.2256231394,862.397232864624,197405.131857733,862.397232864624,2427127.67684391,8.68800261316857,92.136360411062
2013-10-15,286,60727.5554089314,17922.5749373367,862.555910105574,197203.404015388,862.555910105574,2429462.24973056,8.7060446822558,92.5203471328218
2013-10-16,286,60807.807449016,17905.3837554183,861.955266906179,197437.097300968,861.955266906179,2426870.05869118,8.69179581407339,92.1592670636438
2013-10-17,286,60861.3564521444,18074.6083391292,862.310141101995,197577.115949418,862.310141101995,2424925.66885665,8.68661375436805,91.9778312063431
