gvkey,GroupCount,mean_ratio_F_star_F,median_ratio_F_star_F,mode_ratio_F_star_F,std_ratio_F_star_F,min_ratio_F_star_F,max_ratio_F_star_F,skewness_ratio_F_star_F,kurtosis_ratio_F_star_F
28272,2989,1.12891198513922,0.878995040258819,1.45262275047418,0.405481701782295,0.599509554523352,2.32140501051234,0.420058997142284,1.38289757440766
28298,793,-0.0998794867701283,-0.159974510481381,-0.590643865801426,0.216554750403881,-0.590643865801426,0.548572260223496,0.711625856010573,3.24845977414653
28322,1530,0.688568557732467,0.717650701951517,0.127289774082841,0.206915355706949,0.127289774082841,1.2016943538302,-0.311153766396338,3.31480589785633
28349,3520,0.213333327465329,0.226532316117323,0.0262521360133232,0.0781562398397806,0.0262521360133232,0.382877999214284,-0.117718045092489,2.10475122533688
28520,1439,0.344589955696871,0.17239489253424,-0.191582392821717,0.435835348635548,-0.191582392821717,1.41377129802223,1.39310402887377,3.28756046229633
28629,384,0.67421934401056,0.662696215269,0.351594914235005,0.114192636628969,0.351594914235005,0.870687880547147,-0.395367877141137,2.79249356085635
28733,3031,0.732132288175644,0.744452728916475,0.160907961095186,0.155770003031937,0.160907961095186,1.06918414878996,-0.765264314601774,4.2548362119907
28742,3866,0.616244053585478,0.565629247308623,0.136567373676298,0.269784414809238,0.136567373676298,1.27030726212011,0.427393106216368,2.14588977103593
28838,2256,0.0270975503922258,0.0283852785477366,0.00316456872421351,0.0155912787263801,-0.022249731519815,0.0655973063792816,0.0584531404299131,2.35180589161749
28883,2173,0.985181399085578,1.03759160188285,0.209855215328245,0.389018586221166,0.209855215328245,1.61273197998624,-0.281163135470178,1.73687169031732
