gvkey,GroupCount,mean_sigma_V,median_sigma_V,mode_sigma_V,std_sigma_V,min_sigma_V,max_sigma_V,skewness_sigma_V,kurtosis_sigma_V
3851,2352,0.117507638132652,0.117507638132653,0.117507638132653,1.13822059462954e-15,0.117507638132653,0.117507638132653,1,1
3863,664,0.218561873733346,0.218561873733346,0.218561873733346,1.38882497676929e-16,0.218561873733346,0.218561873733346,1,1
3897,1334,0.0867982587217855,0.0867982587217858,0.0867982587217858,3.47074807592658e-16,0.0867982587217858,0.0867982587217858,1,1
3964,2325,0.178258213904532,0.178258213904534,0.178258213904534,2.22092371862214e-15,0.178258213904534,0.178258213904534,1,1
3980,390,0.245412662432906,0.245412662432906,0.245412662432906,1.3895614132193e-16,0.245412662432906,0.245412662432906,1,1
4029,3681,0.100338833415974,0.100338833415973,0.100338833415973,1.23529091913713e-15,0.100338833415973,0.100338833415973,-1,1
4040,2690,0.13077946355179,0.130779463551791,0.130779463551791,1.30475459591935e-15,0.130779463551791,0.130779463551791,1,1
4058,1994,0.209705880961569,0.20970588096157,0.20970588096157,1.30483928636262e-15,0.20970588096157,0.20970588096157,1,1
4060,4866,0.174810378556885,0.174810378556887,0.174810378556887,2.13739895955753e-15,0.174810378556887,0.174810378556887,1,1
4066,4711,0.127140619941865,0.127140619941865,0.127140619941865,1.66551131466096e-16,0.127140619941865,0.127140619941865,1,1
4087,3965,0.160541197004961,0.160541197004963,0.160541197004963,2.1096898026313e-15,0.160541197004963,0.160541197004963,1,1
4093,3468,0.0922832160563007,0.0922832160562994,0.0922832160562994,1.30470017305789e-15,0.0922832160562994,0.0922832160562994,-1,1
4094,785,0.141086954641753,0.141086954641753,0.141086954641753,4.72145610989057e-16,0.141086954641753,0.141086954641753,-1,1
4145,2397,0.241065970882528,0.241065970882528,0.241065970882528,3.33136404917231e-16,0.241065970882528,0.241065970882528,-1,1
4194,2687,0.146655069739356,0.146655069739357,0.146655069739357,5.55214836931865e-16,0.146655069739357,0.146655069739357,1,1
4199,4278,0.168164848340119,0.168164848340119,0.168164848340119,4.44141122786104e-16,0.168164848340119,0.168164848340119,1,1
4213,1616,0.175955504646141,0.175955504646142,0.175955504646142,7.21868350926114e-16,0.175955504646142,0.175955504646142,1,1
4242,2466,0.157304837561445,0.157304837561446,0.157304837561446,1.05492578920046e-15,0.157304837561446,0.157304837561446,1,1
4245,1412,0.405956270199282,0.40595627019928,0.40595627019928,2.33229438126991e-15,0.40595627019928,0.40595627019928,-1,1
4321,3068,0.184575780281266,0.184575780281267,0.184575780281267,6.66242402894615e-16,0.184575780281267,0.184575780281267,1,1
4367,2668,0.302901218031195,0.302901218031196,0.302901218031196,7.77301802142299e-16,0.302901218031196,0.302901218031196,1,1
4423,2013,0.203589956445838,0.203589956445836,0.203589956445836,1.94337305873524e-15,0.203589956445836,0.203589956445836,-1,1
4439,4871,0.281679743550791,0.281679743550784,0.281679743550784,7.27270738085799e-15,0.281679743550784,0.281679743550784,-1,1
4503,2534,0.177102845519997,0.177102845519998,0.177102845519998,1.02715899319084e-15,0.177102845519998,0.177102845519998,1,1
4510,2572,0.189707826218496,0.189707826218498,0.189707826218498,2.27639977845376e-15,0.189707826218498,0.189707826218498,1,1
4598,3646,0.194251929464788,0.194251929464787,0.194251929464787,1.30469098707496e-15,0.194251929464787,0.194251929464787,-1,1
