gvkey,GroupCount,mean_mcap,median_mcap,mode_mcap,std_mcap,min_mcap,max_mcap,skewness_mcap,kurtosis_mcap
2086,4390,30526.4216463206,31796.53548,13443.885,7505.57288086765,11080.70976,45837.71768,-0.448773126068292,2.20545885568728
2111,263,19079.8400177947,18943.57295,18246.55728,958.541289321013,17141.0503,22267.00609,0.592322778833273,3.4810883843228
2136,1353,99450.6012972136,98484.5916,94275.66396,13811.7063379645,71421.11856,133487.8146,0.411943463730697,2.40874124099627
2137,2217,23222.4229655344,22610.7654209514,12490.7668867445,5147.30579326961,12490.7668867445,38457.5953980371,0.658721138369138,3.01970007433837
2150,1245,2407.34540729943,2466.23854,1932.8685,470.459524402106,1537.07476,3325.97552,0.00849765885236258,2.02530016681172
2154,1575,2864.58738438025,2853.15128,3318.0594,409.322983212752,1706.81248,3798.20828,0.0355120937914564,2.37710990981947
2176,483,176807.93042029,182950.60555,110802.5,29505.0459740327,110802.5,231103.36,-0.343432908256321,1.92799680235689
2184,2855,15411.9004214956,15903.45902,6255.27286,5821.03153288856,3800.97043,28916.31168,0.0887131992002949,2.22002783217831
2259,1358,1187.31929379234,1174.37659,912.42249,224.155944129583,564.61841,1695.3791,0.036262702616536,2.73773454642513
2269,2150,6521.26146905581,6259.52183,4759.625,1763.26935302014,3276.41868,10335.864,0.221946934313797,1.81205755149581
2285,4872,78346.753963248,58612.252515,35955.765,51037.9565638583,20049.0024,248943.6907,1.4608840075253,4.29108508898834
2290,1428,1936.64394113971,1948.348465,1034.53308,1043.88386849662,148.7616,4061.92104,0.17086822553179,1.93401257633832
2338,2632,25722.2686633238,25537.780535,15577.916,5673.89700851277,9895.840032,37311.1228,-0.405512776298773,2.44802767229805
2369,1227,17104.0300700234,17027.2866600702,7434.46552692308,4349.35432671626,7434.46552692308,26882.022754491,-0.0725265566992874,2.41573683192492
2393,1229,1302.53001774613,1349.61006,750.66684,460.316147932849,564.36996,2137.3214,0.0900854532127604,1.64142198789176
2403,3404,57702.4843353291,49833.75028,43511.95968,19266.068552778,34168.17216,117964.50306,1.57739786997375,4.41490504601746
2408,3558,14313.458685706,14711.0813767842,20581.4727022481,5918.26252917932,1129.79981090451,24231.0746740419,-0.389850290758038,2.06912119867612
2410,4872,952794.113983383,879711.42621,1113309.6,276655.671036155,301972.8019,1646366.4865,0.470913493569426,2.46811412398576
2411,4499,345217.180565943,315598.046034862,277467.2,141989.285256679,0,717937.9545,0.578433356798752,2.37868675368779
2444,2800,2399.83062996071,2258.92958,3858.48,1142.05021221613,176.23881,4796.6985,0.113201046098975,2.20685636256207
2504,1576,2002.95383781726,2058.63314,210.11486,1051.11864864275,122.06304,4910.46675,0.387558419929486,2.93929742505969
2547,3299,14450.5763168384,12477.69021,8078.175,7939.91160116275,2396.60568,43693.19559,1.41491517823816,4.54562409566014
2558,4791,8658.74323991025,8162.2748,6171.2772,2674.8745607805,1745.96576,14936.42916,0.228219318525678,2.35246446970901
2574,3315,16666.6049941478,16558.13862,6649.66036,8543.35812693429,5443.49502,37735.50027,0.410540800504188,2.10227219360868
2593,1890,2102.73460039683,2139.273795,708.11955,548.599251783354,525.6954,3278.35695,-0.512714012882033,3.351976319389
2663,4870,12877.2176141993,12439.9319,8979.4426,2339.10533522563,8110.87213,20849.10485,0.771848979957374,3.4590880632648
2696,3145,25780.1241660862,24274.6754536029,25235.3665868582,12354.531510047,7285.73206030151,61376.3858943906,0.582733346368245,2.76439832661349
2697,1688,11362.6067081338,11840.6619951548,3429.31330278675,4396.29525521162,3429.31330278675,22412.5365010799,-0.121350784848039,2.06342179166375
2698,492,4769.26902364162,4490.85862239768,3419.59913743531,905.119819911074,3419.59913743531,6824.67805647982,0.37261030061346,1.85021158776192
2710,1602,4611.67142078576,4665.26562,3517.90095,1115.58772547389,2361.69034,6783.55784,-0.0831797199590132,1.87356874664364
2721,4636,47267.2072233671,44641.04761,38879.19145,11937.195849989,20673.3265,79873.4154,0.531372302468722,2.79126551312072
2751,4838,21304.7591440966,22511.882,24839.022,6428.45639471966,8981.30948,34427.4104,-0.0617944188650028,1.60470927663467
2783,2068,10932.5718052998,10920.84185,10825.64336,882.485671840001,7344.85266,13550.59555,0.152437156847827,3.74317484301924
2787,1730,1772.89291541318,1510.22007,2641.93392,923.739430863838,394.04813,3902.3512,0.506020062702921,1.99276670436852
2812,560,1355.10874926786,1474.1858,1066.585,383.323607745024,762.28128,1894.07675,-0.0817989012798482,1.35350683380368
2817,2411,38042.559756686,39077.9496,14655.26956,13185.7809306962,11653.02058,69539.6676,0.16829422606286,2.44448391822194
2884,2052,4881.0354748538,4455.763295,4740.58145,1907.33639727731,2184.00978,10954.8705,2.06850518706485,6.45256817031777
2968,900,143832.068691443,145722.062405,129243.46125,21683.4813399988,60918.340525,181838.51,-0.728416002102374,3.76237968341109
2991,2799,181340.076173409,182507.09532,157656.37056,35389.1308940289,105981.0922,256707.2025,0.0311279961578811,1.87300747759809
3062,557,4005.50502398564,4009.7801,4482.0018,447.761854426745,2773.1385,5125.1613,-0.19018028139936,2.47678983604898
3121,2399,9123.072515297,9068.75199,8549.94495,1116.85235916609,6381.1098,12678.80192,0.595479417336924,3.59593803509177
3138,1785,781.770156285714,538.21717,458.88066,407.435165129336,368.33278,1742.68964,0.790181660299512,2.13300359628521
3144,3400,134576.456781786,125513.26867,102593.82705,28956.7179380944,87609.8053,196360.46579,0.425859329278238,1.78701380320725
3170,3457,38231.394204663,34573.29876,29733.8772,10646.7474780302,22867.35748,64820.07972,0.959275046757453,2.79739716148606
