gvkey,GroupCount,mean_DD,median_DD,mode_DD,std_DD,min_DD,max_DD,skewness_DD,kurtosis_DD
11259,4199,3.27476638996245,3.2990498864692,2.93103488877589,0.25694152779476,2.49006830087324,3.97676224193654,-0.217187052300925,2.3280604656417
11264,296,2.68495807489949,2.63135607839226,2.88714130672569,0.105185292220576,2.47460435351213,2.89954715537679,0.597630920553821,2.50845991504238
11340,729,2.91767405791781,3.14114207530035,3.55573902782202,0.554080789620799,1.22883799062977,3.58746125083254,-1.49161446569412,4.61242494707379
11446,3243,2.93816488842316,2.95178864221341,3.22561349042851,0.282307829122885,2.15796327684776,3.78727528695845,-0.268888538596664,2.52048005980124
11456,4845,3.01825470644533,3.11554869605938,2.65982033837251,0.342675199897712,2.20035579983305,4.31689227981728,-0.482142725538988,2.04906646157626
11465,4846,3.00725241174514,3.12121682916615,2.45017577537347,0.323686174982314,1.92052323146237,3.96949428172449,-0.870743062477103,3.15663343410637
11506,4819,2.72572061821241,2.82495849799211,3.17214080466383,0.460168259539942,-0.551268468044327,3.97994819607125,-1.76473852744059,7.47830962780202
11535,756,1.57427962086294,1.44606335341992,3.28877716892035,0.614049134179361,0.757831154553135,3.28877716892035,1.39652654627642,4.89305150807856
11550,1630,3.02308404655386,3.02838786177958,2.63586445478672,0.277735536011602,2.325966359188,4.0073813874707,-0.146335687583636,2.59155858651952
11554,1305,3.10271069483845,3.20119815960967,2.36395564209336,0.287257197669231,2.08525914150571,3.74127294243434,-1.0419923870393,3.51628201421773
11600,1648,3.04190815752304,2.99155265007612,2.84230751104804,0.425687600904762,2.27756420463508,4.2966369615245,0.692927225605984,3.12230657781545
11636,707,2.32911470572278,2.42033069805254,1.60916142094826,0.338310333908016,1.60916142094826,3.36800711700864,-0.415638855970167,2.25935221554569
11672,3449,3.1766184813202,3.19475027265961,2.85441617645612,0.309455093014379,2.26747763476767,3.94310527853396,-0.588639443737401,2.78702529899641
11729,1346,2.51691595845741,2.68830795169939,3.03382344850648,0.528777401010735,1.74161113622564,3.96654642769508,-0.115703699218687,1.78079613972468
11749,2887,3.00954615649599,3.02647258003867,3.340317027621,0.275053527218467,2.04849693489499,3.5814351777649,-0.781147700647259,4.24334313545158
11923,3674,2.90957215737669,2.95408493407402,3.22433895068878,0.325715820957343,1.39522447702123,4.16605236676227,-0.429751038585814,3.36849062800609
12124,4872,2.83010953231212,2.88785245083928,2.73262270956065,0.355364841664481,0.911615577640068,3.62088679217494,-0.815858710714516,3.83510987452623
12141,3818,3.45045147807636,3.3905805743722,4.90183690041936,0.416926198566763,2.64969637956534,4.90183690041936,2.26082717355975,8.5624984037631
12142,3610,3.39504797135501,3.29017510404851,3.92098907189415,0.419540431273596,2.33070646498145,5.13898323209934,1.48447138222527,5.63287830952109
12338,1243,2.70495138039987,2.76689872432193,2.76190465647886,0.477161179612754,1.40543849797701,3.90646575291672,-0.272794702905912,2.39624095096431
12368,3146,3.00047896468363,3.01732092553438,3.37452707466618,0.303246060876198,2.13677277104702,4.34710675966379,0.00664312168057506,3.68045180977177
12383,1619,2.68668862213285,2.53148039017502,3.7713263024552,0.439175225683038,1.91260788917848,4.01749023799597,0.676375117421642,2.56400125727083
12384,1802,3.14432691684777,3.17470524138476,3.63756664491569,0.305866061728964,2.28497100458362,4.30019224838994,-0.0854161586380658,3.11329920495266
12389,820,3.18773640411666,3.19747491750883,3.16087607131754,0.0762815460315253,2.71722292311722,3.3877343016643,-2.00752039391187,10.614336504987
12395,914,2.49382836597741,2.44848589358601,2.89812834611031,0.307916587367578,2.03177502265716,3.6671282972439,0.760929977471594,2.72951514005531
12459,754,3.09421837913233,2.97413694185161,4.00479050305412,0.458977226043199,2.40789430476599,4.00479050305412,0.797530261377244,2.50768822598271
12589,1140,2.03642679846953,2.05901935506983,2.31187315697632,0.544907204252172,0.175174373018041,3.97639142414275,0.154895533475195,3.14399426215883
12689,2569,2.46174522435431,2.47404632691805,2.21650633944095,0.351351319282674,1.70649429767736,4.07161897654481,0.0379815003679879,2.32599224889289
12726,3371,2.81398735071768,2.91691823160843,2.69235326741474,0.310939237063474,1.90105323885784,3.76027284341601,-0.726203871784755,2.45730306740318
12785,831,2.27693305465062,2.24719686401303,3.05834577780883,0.398340030801194,0.834450802026037,3.05834577780883,-0.556884697644176,3.07974059985632
12884,423,2.20740897144489,2.23304895775111,2.23304895775111,0.0435874984791316,2.09937358524263,2.27177442363635,-1.01107690404906,2.78075100585062
12886,1290,3.39166929976843,3.38430074816189,3.15422731525595,0.0826014094579299,3.15422731525595,3.68519035843716,0.548271301917134,3.61061604847203
13125,1658,2.69617433337227,2.87377252531389,3.50377020471724,0.407456261482925,1.4760008258381,3.52801446563992,-0.899564979573552,2.94244263585486
13145,4794,2.61338878787282,2.76171291406526,2.73262278012884,0.505456331620953,1.34190232818102,3.68265372889721,-0.459120666888716,2.33119674886939
13312,443,3.29027357083515,3.31369744340817,2.94204992030167,0.0960628142347737,2.94204992030167,3.41547929709744,-1.48520586647046,4.86268166161661
13380,1797,2.34451998883729,2.3809676654274,2.85674783451623,0.378684054788228,1.24453059512384,3.89825282683774,-0.458970120543273,3.63403871212922
13421,573,2.46452049700853,2.48230109534887,2.48230109246947,0.196644129781118,2.09421091110074,3.07343338321529,-0.195140537951162,2.66423492151246
13440,716,1.887265523528,1.86843074032299,1.64733582936108,0.209094819282354,1.44007207605687,2.31935770727022,0.178392401373895,2.43389758406693
13498,4872,2.99098090145699,3.15008672674051,2.63587517526934,0.438506746290326,0.772734641801727,4.04439158568364,-1.23809599013248,4.45876734420254
13510,334,2.87356665184233,3.16524961342358,2.65956123708187,0.673268939133425,0.941623262776694,3.66650928917712,-1.27651592336209,3.41326526815227
13561,4666,2.07665171176852,1.92658128642231,2.82793619789238,0.782311591096241,0.121376676503325,4.03501096234089,0.328505760899111,1.88618754275569
13683,4872,2.93475174651567,2.96439257152614,3.84753557843851,0.35643145942841,1.96041520769853,5.1253899252273,0.49580785880859,7.09401155707288
13709,175,1.83661832584925,1.75815988297096,2.40731962240687,0.240174035827157,1.63864569700132,2.40731962240687,1.74897466431239,4.44806322901067
13714,1077,2.83820301772308,2.80950068682886,2.80950068682886,0.0873812214710902,2.59296105479438,3.10489205692272,-0.0683525950029193,4.78086775147248
