datadate,GroupCount,mean_mcap,median_mcap,mode_mcap,std_mcap,min_mcap,max_mcap,skewness_mcap,kurtosis_mcap
2016-09-26,178,68577.4943478043,24032.87509,836.2466,136975.208549697,836.2466,1252075.78545,5.1805448732614,37.85253466702
2016-09-27,178,69040.220510272,24063.659215,855.9052,138128.189344988,855.9052,1260061.22382,5.17319193774306,37.6977126243711
2016-09-28,178,69438.4786427042,24299.105515,860.4418,139170.763880153,860.4418,1272141.75879,5.19305157822479,37.9579055612369
2016-09-29,178,68552.2592354562,23413.46967,843.8076,138750.332746672,843.8076,1267227.64287,5.2067237160715,37.9995410937412
2016-09-30,164,71079.3221469438,24093.7297575,852.27592,143118.741803972,852.27592,1259651.71416,5.06120255584422,35.5347468434847
2016-10-03,166,70959.3065730989,24225.529384,841.99296,142815.660019003,841.99296,1270503.72015,5.13584601458066,36.5518095671191
2016-10-04,166,70864.5462492526,24296.6151155,840.7832,142975.965040275,840.7832,1269889.45566,5.13561309247805,36.4838154994379
2016-10-05,166,71331.0679520776,24457.0224595,850.46128,144640.688102578,850.46128,1292002.9773,5.18668905123435,37.1759381947434
2016-10-06,166,71130.3660626887,24572.6315835,853.78812,144038.96809803,853.78812,1285655.57757,5.18268549046747,37.1058287233635
2016-10-07,166,70998.2272687004,24614.07474,848.04176,144075.104362832,848.04176,1277465.38437,5.15299310713604,36.5426789082118
2016-10-11,166,70308.2931872793,24338.34428,860.13936,141574.281194686,860.13936,1248185.44368,5.09181588089969,35.7736027342281
2016-10-12,165,70564.7746378379,24481.96708,862.25644,142427.720063206,862.25644,1260061.22382,5.12981072375333,36.2850250502374
2016-10-13,166,69926.986838398,24309.3088245,851.06616,141069.766769927,851.06616,1244090.34708,5.09367273169993,35.8052486313212
2016-10-14,166,70147.3404318522,24296.26875,851.97348,141570.350964862,851.97348,1248185.44368,5.09727880435321,35.8274514501577
2016-10-17,165,70155.9145104932,24346.78155,853.18324,140271.66523628,853.18324,1219724.52231,4.98804668898401,34.3713711155934
2016-10-18,165,70778.7001211738,24422.41074,865.58328,142026.882419784,865.58328,1236309.66354,5.01923843727791,34.6799230029399
2016-10-19,165,70722.376198756,24562.03386,884.33456,141386.497608171,884.33456,1229962.26381,5.00586062261639,34.5310217330609
2016-10-20,165,70626.6923447025,24538.76334,817.79776,140727.975875568,817.79776,1212558.10326,4.94660635361523,33.6522773496899
