gvkey,GroupCount,mean_E,median_E,mode_E,std_E,min_E,max_E,skewness_E,kurtosis_E
13510,317,2132.9079045396,1577.07589214704,663.527174140804,1448.02972538195,663.527174140804,10625.9239340664,2.57971390283134,9.33775632493966
13561,4600,2414.19436619256,1658.87177471854,179.090115258742,1835.34330915362,179.090115258742,7876.06632088626,0.741074529603856,2.26274415686967
13683,4753,40594.3348254397,33984.7281337037,9235.13493367278,16235.611697348,9235.13493367278,118139.900539713,0.985944140758493,3.17973666801775
13709,165,2335.06509551769,2409.16460032302,25.0789002763252,960.487503673004,25.0789002763252,6107.43999831224,0.447025422491997,3.5782561923695
13714,463,5980.60212870535,5968.96798795592,4958.11393947679,491.553662473386,4958.11393947679,8719.86183878268,0.97209062857635,5.42236236889508
13971,1195,944.777057947822,890.704205014218,24.8805643789979,286.621781963643,24.8805643789979,1908.32640062884,-0.111477813650168,2.12266883582975
13988,2207,22742.4608954381,21281.8723069565,14093.0782846487,6579.85316002463,14093.0782846487,46598.1128309113,1.13078809467613,3.77871901550342
13994,1568,6869.96919717067,6949.78262579901,495.322255956976,2926.4310324241,495.322255956976,16485.6490774623,0.0996417702680085,2.3867309444779
14065,543,405.113618058758,392.357620924297,277.766012996604,48.6187338457288,277.766012996604,530.607792447379,0.717104602408613,3.20647540216614
14078,1639,4391.24698194915,3987.23210719438,1764.05865186956,1158.27086238986,1764.05865186956,7650.62489159334,0.756274647027283,2.66870994661902
14087,963,19934.295228996,11970.7268260269,4670.01375748106,14829.3534868484,4670.01375748106,57430.3409290959,1.17027242622224,2.9706106331193
14163,1081,620.474640530001,371.927233407081,153.227276619056,538.999092991357,153.227276619056,2607.24524978756,1.83426116540779,5.431341599666
14313,2988,482.056585512627,432.786688874772,14.0490196078432,176.648550070029,14.0490196078432,1364.57306670282,1.53631088123022,5.28933027351665
14316,2537,7309.81977589593,8128.96468010473,1180.76959160308,3563.31937204497,1180.76959160308,18580.1565139241,-0.263665131202237,1.84874537313645
14353,3066,1728.05946536796,1651.05141399866,410.346943064345,599.296175076513,410.346943064345,3685.0719155242,0.506455344192055,2.43657386288125
14359,2966,3565.01640141152,3452.76531561386,34.9870449392542,1370.03054475065,34.9870449392542,6467.53514754484,-0.0376623202578259,2.16618889236421
14369,2507,971.378557271006,892.77656652347,198.50649677081,280.981768185261,198.50649677081,1937.85313536443,0.9949291133157,3.59163558523885
14370,364,1581.76362705752,1661.57399900277,812.018630245157,213.737947655598,812.018630245157,1803.20218176944,-2.08154589679144,6.84070737496875
14372,1214,261.326476666724,247.025165987957,122.148417762273,77.2640546144612,122.148417762273,682.439694914099,0.553290959776582,2.74983105575226
