gvkey,GroupCount,mean_F,median_F,mode_F,std_F,min_F,max_F,skewness_F,kurtosis_F
7908,4857,65857.6409717933,65878.463,68355,8089.61790094379,51043.2855,84380.6095,0.196895992261559,2.21369426689243
7912,907,3571.00968026461,3432.166,3432.166,353.009250540554,3161.5,4578.5,1.51059985755952,4.96583006986841
7922,3702,3163.67528092922,3060,4402.5,1147.95799168943,1664.7515,5332.5,0.298157209420479,1.60269911162918
7923,4872,10092.417590312,9679.5,9246.5,1616.963646319,7342.5,12621.5,-0.0549442052200226,1.78249188437573
7974,1900,8215.22726315788,8354.2,7243.05,650.775677229568,6851.8,9943.4,0.0826709881392721,3.21145350026803
7980,2002,9799.46903096903,9497,7759,1670.44940709952,7475.5,13017.5,0.295868570255499,1.84228893634664
7985,2299,13763.7040017399,11901,10330.5,3960.04407020927,9435,22207,0.86543032175188,2.23368650516305
7991,1305,2628.61961685824,2622.8,2138.6,356.562250804081,2138.6,3425.05,0.693102463079498,2.5942640847456
8007,496,404538.396169355,382052,254296.5,201158.552950711,253079,1076962,2.43100823498799,8.70792424325086
8030,2558,2915.05336864738,2827.995,4610.996,1261.39854028499,1095.096,5010.35,0.278011742040027,1.69752519087408
8068,3584,10785.2063337054,9776,6595,3960.77474721154,5874,18473,0.382977844972517,1.7643607052242
8099,981,14484.857530581,14162.5,12873.967,1311.73171870092,12725.981,17460.45,0.0603849980820472,1.42184373745972
8123,2793,806.141496598642,761.25,533.35,144.576097652318,533.35,1106.65,0.556410453344488,2.57266241009915
8133,1581,2168.54453984819,2353.6035,2483.3615,614.942882627746,1135.4445,3719.931,0.00256148671377673,3.32474288613522
8151,2258,4529.16973051374,4673.088,2986.9395,1327.27608917097,2797.5225,7076.1435,0.250209962335921,1.74546851457519
8210,1125,1040.12704355556,1094.2725,1152.316,176.704939001865,711.6235,1275.7225,-0.60668468384658,2.1326237077351
8214,1612,2790.96867245658,2546.5,2257,1248.27637792464,2202.5,9645,5.13482657856718,28.239836715616
8215,374,5299.90614973262,5530.45,5615.6,505.066410441951,4343.2,5856,-0.994411228959576,2.47082073283022
8240,1678,5138.97348033373,5061,4477.5,716.832338425914,4091.5,6887.5,0.731086441954157,2.67788631563704
8245,628,80838.525477707,57154.5,52874,46798.8023654948,52874,230725.5,2.4054769511791,7.98994001250669
8247,4754,6544.57267564157,7400,8340,1861.69429477554,3602.5,9233,-0.515893964212864,1.5896059277966
8253,1619,7759.85420012356,7392.7,9070.2,1553.16980644099,3796.6,9906.85,-0.481879806149021,2.47293823979771
8264,735,18171.7272108844,18082.5,17461,1082.78788140847,16269.5,19715.5,-0.0457900285568002,1.51502639752326
8272,3406,13565.9230769231,13747.5,10553.5,2093.32996984631,8892,18021.5,-0.0619111143400659,2.10519739518429
8290,340,5533.58911764706,5573.5,5331,296.475151673275,4799.5,6323,0.258392597388708,3.9301022370041
8304,1504,957.227786236705,942.8115,942.8115,180.193930133209,695.8205,1240.2175,0.113950304122755,1.44691272652481
8357,388,323.475759020618,315.0495,314.712,28.7134542608463,272.0525,400.8775,0.200195116352956,3.73622155355962
