date,Pi,Pi_hat,epsilon_101
1967-09-30,0.298062813813794,0.26072070575174,0.037342108062054
1967-10-31,0.297177038915748,0.264345633594517,0.0328314053212309
1967-11-30,0.591717702808852,0.266631144616239,0.325086558192612
1967-12-31,0.294551022975697,0.349611440572409,-0.0550604175967122
1968-01-31,0.293685967330971,0.325422518400422,-0.0317365510694515
1968-02-29,0.292825977908836,0.308299217708195,-0.0154732397993592
1968-03-31,0.291971010333462,0.296109239899972,-0.00413822956650989
1968-04-30,0.291121020745853,0.287364192310848,0.00375682843500591
1968-05-31,0.290275965796141,0.281025139624663,0.00925082617147793
1968-06-30,0.578036291549955,0.276366875480164,0.301669416069791
1968-07-31,0.574714225556785,0.352626813834206,0.222087411722579
1968-08-31,0.286123228103219,0.404939612711152,-0.118816384607933
1968-09-30,0.285306898240648,0.361713819654635,-0.0764069214139866
1968-10-31,0.568183346743086,0.331315925322714,0.236867421420373
1968-11-30,0.282885620047762,0.388259696021186,-0.105374075973424
1968-12-31,0.563381771825606,0.349176368007097,0.214205403818509
1969-01-31,0.280505092760868,0.399399856082141,-0.118894763321273
1969-02-28,0.2797204621061,0.356294620675339,-0.076574158569239
1969-03-31,0.834497193218069,0.325989636472831,0.508507556745238
1969-04-30,0.552487593196981,0.458127433140914,0.0943601600560671
1969-05-31,0.275103337189002,0.472439351378971,-0.197336014189969
1969-06-30,0.547946576462557,0.405784853818695,0.142161722643862
1969-07-31,0.544960476756446,0.434648612591802,0.110311864164644
1969-08-31,0.271370587159633,0.453970909635492,-0.18260032247586
1969-09-30,0.540541856690798,0.391862168083391,0.148679688607407
1969-10-31,0.537635703638027,0.422884333818849,0.114751369819179
1969-11-30,0.534760632659528,0.443735325525539,0.0910253071339887
1969-12-31,0.531916147760003,0.457495254451283,0.0744208933087193
1970-01-31,0.529101763441546,0.466313953176149,0.0627878102653968
1970-02-28,0.526317004427469,0.471691906971783,0.0546250974556862
1970-03-31,0.523561405394494,0.474676348554759,0.0488850568397354
1970-04-30,0.520834510713826,0.475998135459608,0.0448363752542178
1970-05-31,0.259403517704675,0.476167292683517,-0.216763774978842
1970-06-30,0.516797015844238,0.404048979192874,0.112748036651363
1970-07-31,0.257400399517284,0.424829961197512,-0.167429561680228
1970-08-31,0.256739550524595,0.367661170896915,-0.11092162037232
1970-09-30,0.511510066677041,0.327573790345501,0.18393627633154
1970-10-31,0.508906950747123,0.369988144008496,0.138918806738627
1970-11-30,0.506330195654686,0.398874807776958,0.107455387877727
1970-12-31,0.503779402995708,0.418326199515438,0.0854532034802697
1971-01-31,0.250941160542571,0.431198785871211,-0.18025762532864
1971-02-28,0,0.370321956028955,-0.370321956028955
1971-03-31,0.250313021811848,0.258490974660993,-0.00817795284914535
1971-04-30,0.249688019858715,0.249595427330011,9.25925287032225e-05
1971-05-31,0.497513464011371,0.243213489953527,0.254299974057844
1971-06-30,0.49505051598562,0.307235808531711,0.187814707453909
1971-07-31,0.246609249519347,0.351243926458211,-0.104634676938864
1971-08-31,0.24600258408624,0.313315158079868,-0.0673125739936276
1971-09-30,0.245398896156657,0.286672609054641,-0.041273712897984
1971-10-31,0.244798163864004,0.26790885431646,-0.023110690452456
1971-11-30,0.244200365555181,0.254645447625357,-0.0104450820701759
1971-12-31,0.243605479788112,0.245222187385463,-0.00161670759735069
1972-01-31,0.243013485329189,0.238480218941506,0.00453326638768314
1972-02-29,0.484262447578799,0.233610636320813,0.250651811257986
1972-03-31,0,0.296871446504569,-0.296871446504569
1972-04-30,0.241254640538393,0.20722127950195,0.0340333610364429
1972-05-31,0.240674003056506,0.211305380052345,0.0293686230041608
1972-06-30,0.240096153753827,0.213995714347873,0.0261004394059543
1972-07-31,0.239521072595463,0.215713946683018,0.0238071259124448
1972-08-31,0.238948739738149,0.21675440031524,0.0221943394229081
1972-09-30,0.476191376024378,0.217322512362163,0.258868863662215
1972-10-31,0.23724803536304,0.283271931277699,-0.0460238959146591
1972-11-30,0.47281411959459,0.263282947322148,0.209531172272442
1972-12-31,0.235571369245921,0.314419915715622,-0.0788485464697015
1973-01-31,0.469484430420788,0.284561483977657,0.184922946443131
1973-02-28,0.700119545898356,0.328352661998209,0.371766883900147
1973-03-31,0.925932541279673,0.422646776430378,0.503285764849294
1973-04-30,0.688866099518532,0.550860385533131,0.138005713985401
1973-05-31,0.456621797958118,0.574851465803002,-0.118229667844883
1973-06-30,0.681046900252688,0.527425874904594,0.153621025348094
1973-07-31,0,0.55633324729019,-0.55633324729019
1973-08-31,1.79377006866673,0.388329994987152,1.40544007367957
1973-09-30,0.443459706786577,0.766700176155825,-0.323240469369248
1973-10-31,0.881062968215491,0.657702675198528,0.223360293016963
1973-11-30,0.655740054615904,0.702535390809804,-0.0467953361939004
1973-12-31,0.867684402568881,0.671570072135392,0.196114330433489
1974-01-31,1.07412418314126,0.70851841643766,0.365605766703602
1974-02-28,1.06270925742862,0.791350668338643,0.271358589089976
1974-03-31,1.05153439995229,0.846014902827563,0.205519497124728
1974-04-30,0.625653761430536,0.881083719427537,-0.255429957997001
1974-05-31,1.03413537947325,0.787886629995917,0.246248749477336
1974-06-30,0.819676720417849,0.835701654718325,-0.0160249343004762
1974-07-31,0.610378293801767,0.809819956528604,-0.199441662726837
1974-08-31,1.20969217088285,0.733922533611597,0.475769637271256
